Entry Time (UTC),Entry Time (SAST),Exit Time (UTC),Exit Time (SAST),Duration,Direction,Size,EntryPrice,ExitPrice,PnL,Return %,Winner,Day,Month,Year
20/11/2024 15:00,20/11/2024 17:00,20/11/2024 16:00,20/11/2024 18:00,1h 00m,SHORT,5,20477.25,20689.0,-1099.92,-1.07,Loss,Wednesday,11/2024,2024
21/11/2024 15:00,21/11/2024 17:00,21/11/2024 16:00,21/11/2024 18:00,1h 00m,SHORT,5,20514.25,20732.25,-1131.25,-1.1,Loss,Thursday,11/2024,2024
22/11/2024 15:00,22/11/2024 17:00,25/11/2024 13:00,25/11/2024 15:00,2d 22h 00m,SHORT,5,20722.25,20999.0,-1425.47,-1.38,Loss,Friday,11/2024,2024
25/11/2024 15:00,25/11/2024 17:00,27/11/2024 17:00,27/11/2024 19:00,2d 02h 00m,SHORT,2,20869.5,20675.25,371.88,0.89,Win,Monday,11/2024,2024
25/11/2024 15:00,25/11/2024 17:00,29/11/2024 15:30,29/11/2024 17:30,4d 00h 30m,SHORT,3,20869.5,20905.5,-133.06,-0.21,Loss,Monday,11/2024,2024
02/12/2024 15:00,02/12/2024 17:00,04/12/2024 13:00,04/12/2024 15:00,1d 22h 00m,LONG,2,21141.0,21410.0,520.98,1.23,Win,Monday,12/2024,2024
02/12/2024 15:00,02/12/2024 17:00,05/12/2024 17:00,05/12/2024 19:00,3d 02h 00m,LONG,2,21141.0,21524.0,748.93,1.77,Win,Monday,12/2024,2024
02/12/2024 15:00,02/12/2024 17:00,06/12/2024 15:00,06/12/2024 17:00,4d 00h 00m,LONG,1,21141.0,21619.5,469.95,2.22,Win,Monday,12/2024,2024
06/12/2024 15:00,06/12/2024 17:00,11/12/2024 18:00,11/12/2024 20:00,5d 03h 00m,LONG,2,21593.25,21778.75,353.65,0.82,Win,Friday,12/2024,2024
06/12/2024 15:00,06/12/2024 17:00,16/12/2024 16:00,16/12/2024 18:00,10d 01h 00m,LONG,2,21593.25,21990.5,777.07,1.8,Win,Friday,12/2024,2024
06/12/2024 15:00,06/12/2024 17:00,16/12/2024 17:00,16/12/2024 19:00,10d 02h 00m,LONG,1,21593.25,22086.0,484.01,2.24,Win,Friday,12/2024,2024
17/12/2024 15:00,17/12/2024 17:00,18/12/2024 19:00,18/12/2024 21:00,1d 04h 00m,SHORT,2,21942.25,21619.25,628.58,1.43,Win,Tuesday,12/2024,2024
17/12/2024 15:00,17/12/2024 17:00,18/12/2024 20:00,18/12/2024 22:00,1d 05h 00m,SHORT,2,21942.25,21156.0,1555.26,3.54,Win,Tuesday,12/2024,2024
17/12/2024 15:00,17/12/2024 17:00,18/12/2024 21:00,18/12/2024 23:00,1d 06h 00m,SHORT,1,21942.25,21176.75,756.88,3.45,Win,Tuesday,12/2024,2024
19/12/2024 15:00,19/12/2024 17:00,20/12/2024 13:00,20/12/2024 15:00,22h 00m,SHORT,2,21197.25,20808.75,760.2,1.79,Win,Thursday,12/2024,2024
19/12/2024 15:00,19/12/2024 17:00,23/12/2024 13:00,23/12/2024 15:00,3d 22h 00m,SHORT,3,21197.25,21572.5,-1151.41,-1.81,Loss,Thursday,12/2024,2024
23/12/2024 15:00,23/12/2024 17:00,23/12/2024 18:00,23/12/2024 20:00,3h 00m,SHORT,5,21477.0,21745.5,-1385.72,-1.29,Loss,Monday,12/2024,2024
24/12/2024 15:30,24/12/2024 17:30,27/12/2024 17:00,27/12/2024 19:00,3d 01h 30m,LONG,5,21897.25,21572.25,-1668.47,-1.52,Loss,Tuesday,12/2024,2024
30/12/2024 15:00,30/12/2024 17:00,30/12/2024 17:00,30/12/2024 19:00,2h 00m,SHORT,5,21253.0,21552.75,-1541.56,-1.45,Loss,Monday,12/2024,2024
31/12/2024 15:00,31/12/2024 17:00,02/01/2025 17:00,02/01/2025 19:00,2d 02h 00m,SHORT,2,21333.5,20983.75,682.57,1.6,Win,Tuesday,12/2024,2024
31/12/2024 15:00,31/12/2024 17:00,03/01/2025 16:00,03/01/2025 18:00,3d 01h 00m,SHORT,3,21333.5,21337.25,-36.85,-0.06,Loss,Tuesday,12/2024,2024
06/01/2025 15:00,06/01/2025 17:00,07/01/2025 17:00,07/01/2025 19:00,1d 02h 00m,LONG,5,21780.25,21445.0,-1719.48,-1.58,Loss,Monday,01/2025,2025
08/01/2025 15:00,08/01/2025 17:00,10/01/2025 15:00,10/01/2025 17:00,2d 00h 00m,SHORT,2,21231.0,20874.75,695.66,1.64,Win,Wednesday,01/2025,2025
08/01/2025 15:00,08/01/2025 17:00,15/01/2025 15:00,15/01/2025 17:00,7d 00h 00m,SHORT,3,21231.0,21318.5,-288.03,-0.45,Loss,Wednesday,01/2025,2025
16/01/2025 15:00,16/01/2025 17:00,17/01/2025 17:00,17/01/2025 19:00,1d 02h 00m,SHORT,5,21336.5,21626.25,-1491.71,-1.4,Loss,Thursday,01/2025,2025
21/01/2025 15:00,21/01/2025 17:00,22/01/2025 13:00,22/01/2025 15:00,22h 00m,SHORT,5,21525.75,21930.0,-2064.71,-1.92,Loss,Tuesday,01/2025,2025
22/01/2025 15:00,22/01/2025 17:00,27/01/2025 13:00,27/01/2025 15:00,4d 22h 00m,LONG,5,21976.0,21160.0,-4123.14,-3.75,Loss,Wednesday,01/2025,2025
27/01/2025 15:00,27/01/2025 17:00,28/01/2025 18:00,28/01/2025 20:00,1d 03h 00m,LONG,2,21228.0,21521.5,569.9,1.34,Win,Monday,01/2025,2025
27/01/2025 15:00,27/01/2025 17:00,31/01/2025 13:00,31/01/2025 15:00,3d 22h 00m,LONG,2,21228.0,21755.75,1038.31,2.45,Win,Monday,01/2025,2025
27/01/2025 15:00,27/01/2025 17:00,31/01/2025 14:00,31/01/2025 16:00,3d 23h 00m,LONG,1,21228.0,21868.0,631.38,2.97,Win,Monday,01/2025,2025
31/01/2025 15:00,31/01/2025 17:00,31/01/2025 21:00,31/01/2025 23:00,6h 00m,LONG,5,21865.75,21571.0,-1517.19,-1.39,Loss,Friday,01/2025,2025
03/02/2025 15:00,03/02/2025 17:00,03/02/2025 17:00,03/02/2025 19:00,2h 00m,SHORT,5,21113.25,21401.25,-1482.51,-1.4,Loss,Monday,02/2025,2025
04/02/2025 15:00,04/02/2025 17:00,07/02/2025 14:00,07/02/2025 16:00,2d 23h 00m,LONG,2,21561.0,21863.75,588.13,1.36,Win,Tuesday,02/2025,2025
04/02/2025 15:00,04/02/2025 17:00,07/02/2025 20:00,07/02/2025 22:00,3d 05h 00m,LONG,3,21561.0,21552.75,-50.62,-0.08,Loss,Tuesday,02/2025,2025
10/02/2025 15:00,10/02/2025 17:00,13/02/2025 20:00,13/02/2025 22:00,3d 05h 00m,LONG,2,21782.5,22052.75,522.97,1.2,Win,Monday,02/2025,2025
10/02/2025 15:00,10/02/2025 17:00,21/02/2025 18:00,21/02/2025 20:00,11d 03h 00m,LONG,3,21782.5,21759.75,-94.38,-0.14,Loss,Monday,02/2025,2025
24/02/2025 15:00,24/02/2025 17:00,25/02/2025 15:00,25/02/2025 17:00,1d 00h 00m,SHORT,2,21436.25,21028.25,799.01,1.86,Win,Monday,02/2025,2025
24/02/2025 15:00,24/02/2025 17:00,27/02/2025 15:00,27/02/2025 17:00,3d 00h 00m,SHORT,2,21436.25,20896.5,1062.57,2.48,Win,Monday,02/2025,2025
24/02/2025 15:00,24/02/2025 17:00,27/02/2025 20:00,27/02/2025 22:00,3d 05h 00m,SHORT,1,21436.25,20608.5,819.34,3.82,Win,Monday,02/2025,2025
28/02/2025 15:00,28/02/2025 17:00,28/02/2025 21:00,28/02/2025 23:00,6h 00m,LONG,2,20554.0,20868.25,611.93,1.49,Win,Friday,02/2025,2025
28/02/2025 15:00,28/02/2025 17:00,03/03/2025 13:00,03/03/2025 15:00,2d 22h 00m,LONG,2,20554.0,21034.25,943.86,2.3,Win,Friday,02/2025,2025
28/02/2025 15:00,28/02/2025 17:00,03/03/2025 20:00,03/03/2025 22:00,3d 05h 00m,LONG,1,20554.0,20316.75,-245.42,-1.19,Loss,Friday,02/2025,2025
04/03/2025 15:00,04/03/2025 17:00,04/03/2025 17:00,04/03/2025 19:00,2h 00m,SHORT,5,20075.25,20337.0,-1349.16,-1.34,Loss,Tuesday,03/2025,2025
05/03/2025 15:00,05/03/2025 17:00,05/03/2025 20:00,05/03/2025 22:00,5h 00m,LONG,2,20300.0,20602.0,587.64,1.45,Win,Wednesday,03/2025,2025
05/03/2025 15:00,05/03/2025 17:00,06/03/2025 13:00,06/03/2025 15:00,22h 00m,LONG,3,20300.0,20299.0,-27.36,-0.04,Loss,Wednesday,03/2025,2025
07/03/2025 15:00,07/03/2025 17:00,07/03/2025 18:00,07/03/2025 20:00,3h 00m,SHORT,5,19887.75,20169.25,-1447.56,-1.46,Loss,Friday,03/2025,2025
10/03/2025 15:00,10/03/2025 17:00,17/03/2025 19:00,17/03/2025 21:00,7d 04h 00m,LONG,2,19550.0,19826.0,536.25,1.37,Win,Monday,03/2025,2025
10/03/2025 15:00,10/03/2025 17:00,18/03/2025 13:00,18/03/2025 15:00,7d 22h 00m,LONG,3,19550.0,19454.25,-310.65,-0.53,Loss,Monday,03/2025,2025
18/03/2025 15:00,18/03/2025 17:00,19/03/2025 15:00,19/03/2025 17:00,1d 00h 00m,SHORT,5,19397.75,19715.0,-1625.36,-1.68,Loss,Tuesday,03/2025,2025
20/03/2025 15:00,20/03/2025 17:00,24/03/2025 13:00,24/03/2025 15:00,3d 22h 00m,LONG,2,19757.0,20229.25,928.51,2.35,Win,Thursday,03/2025,2025
20/03/2025 15:00,20/03/2025 17:00,25/03/2025 14:00,25/03/2025 16:00,4d 23h 00m,LONG,2,19757.0,20371.0,1211.95,3.07,Win,Thursday,03/2025,2025
20/03/2025 15:00,20/03/2025 17:00,25/03/2025 20:00,25/03/2025 22:00,5d 05h 00m,LONG,1,19757.0,20517.25,752.2,3.81,Win,Thursday,03/2025,2025
26/03/2025 15:00,26/03/2025 17:00,28/03/2025 13:00,28/03/2025 15:00,1d 22h 00m,SHORT,2,20170.25,19840.0,644.5,1.6,Win,Wednesday,03/2025,2025
26/03/2025 15:00,26/03/2025 17:00,28/03/2025 14:00,28/03/2025 16:00,1d 23h 00m,SHORT,2,20170.25,19575.75,1173.1,2.91,Win,Wednesday,03/2025,2025
26/03/2025 15:00,26/03/2025 17:00,31/03/2025 13:00,31/03/2025 15:00,4d 22h 00m,SHORT,1,20170.25,19089.25,1073.15,5.32,Win,Wednesday,03/2025,2025
31/03/2025 15:00,31/03/2025 17:00,01/04/2025 15:00,01/04/2025 17:00,1d 00h 00m,LONG,2,19113.75,19503.0,763.05,2.0,Win,Monday,03/2025,2025
31/03/2025 15:00,31/03/2025 17:00,02/04/2025 20:00,02/04/2025 22:00,2d 05h 00m,LONG,4,19113.75,19076.75,-178.55,-0.23,Loss,Monday,03/2025,2025
03/04/2025 15:00,03/04/2025 17:00,04/04/2025 13:00,04/04/2025 15:00,22h 00m,SHORT,2,18720.0,18005.75,1413.81,3.78,Win,Thursday,04/2025,2025
03/04/2025 15:00,03/04/2025 17:00,04/04/2025 14:00,04/04/2025 16:00,23h 00m,SHORT,2,18720.0,17656.0,2113.45,5.64,Win,Thursday,04/2025,2025
03/04/2025 15:00,03/04/2025 17:00,04/04/2025 16:00,04/04/2025 18:00,1d 01h 00m,SHORT,2,18720.0,17751.75,1921.91,5.13,Win,Thursday,04/2025,2025
08/04/2025 15:00,08/04/2025 17:00,08/04/2025 17:00,08/04/2025 19:00,2h 00m,SHORT,2,17952.5,17488.25,914.32,2.55,Win,Tuesday,04/2025,2025
08/04/2025 15:00,08/04/2025 17:00,08/04/2025 19:00,08/04/2025 21:00,4h 00m,SHORT,2,17952.5,16973.5,1944.03,5.41,Win,Tuesday,04/2025,2025
08/04/2025 15:00,08/04/2025 17:00,09/04/2025 17:00,09/04/2025 19:00,1d 02h 00m,SHORT,2,17952.5,18878.25,-1866.23,-5.2,Loss,Tuesday,04/2025,2025
10/04/2025 15:00,10/04/2025 17:00,11/04/2025 17:00,11/04/2025 19:00,1d 02h 00m,SHORT,6,18257.5,18822.5,-3434.5,-3.14,Loss,Thursday,04/2025,2025
14/04/2025 15:00,14/04/2025 17:00,16/04/2025 18:00,16/04/2025 20:00,2d 03h 00m,SHORT,2,18803.5,18209.5,1173.19,3.12,Win,Monday,04/2025,2025
14/04/2025 15:00,14/04/2025 17:00,21/04/2025 17:00,21/04/2025 19:00,7d 02h 00m,SHORT,2,18803.5,17703.0,2186.4,5.81,Win,Monday,04/2025,2025
14/04/2025 15:00,14/04/2025 17:00,23/04/2025 13:00,23/04/2025 15:00,8d 22h 00m,SHORT,2,18803.5,18889.0,-186.08,-0.49,Loss,Monday,04/2025,2025
23/04/2025 15:00,23/04/2025 17:00,24/04/2025 18:00,24/04/2025 20:00,1d 03h 00m,SHORT,6,18797.25,19293.25,-3021.71,-2.68,Loss,Wednesday,04/2025,2025
25/04/2025 15:00,25/04/2025 17:00,01/05/2025 13:00,01/05/2025 15:00,5d 22h 00m,LONG,2,19309.25,19860.0,1085.83,2.81,Win,Friday,04/2025,2025
25/04/2025 15:00,25/04/2025 17:00,12/05/2025 13:00,12/05/2025 15:00,16d 22h 00m,LONG,4,19309.25,20786.75,5877.92,7.61,Win,Friday,04/2025,2025
12/05/2025 15:00,12/05/2025 17:00,13/05/2025 15:00,13/05/2025 17:00,1d 00h 00m,LONG,2,20753.75,21230.75,937.21,2.26,Win,Monday,05/2025,2025
12/05/2025 15:00,12/05/2025 17:00,19/05/2025 17:00,19/05/2025 19:00,7d 02h 00m,LONG,2,20753.75,21493.5,1462.6,3.52,Win,Monday,05/2025,2025
12/05/2025 15:00,12/05/2025 17:00,03/06/2025 15:00,03/06/2025 17:00,22d 00h 00m,LONG,2,20753.75,21684.5,1844.52,4.44,Win,Monday,05/2025,2025
03/06/2025 15:00,03/06/2025 17:00,10/06/2025 20:00,10/06/2025 22:00,7d 05h 00m,LONG,2,21652.5,21936.0,549.56,1.27,Win,Tuesday,06/2025,2025
03/06/2025 15:00,03/06/2025 17:00,13/06/2025 13:00,13/06/2025 15:00,9d 22h 00m,LONG,4,21652.5,21626.0,-140.62,-0.16,Loss,Tuesday,06/2025,2025
13/06/2025 15:00,13/06/2025 17:00,23/06/2025 18:00,23/06/2025 20:00,10d 03h 00m,LONG,2,21735.5,22021.25,554.0,1.27,Win,Friday,06/2025,2025
13/06/2025 15:00,13/06/2025 17:00,24/06/2025 13:00,24/06/2025 15:00,10d 22h 00m,LONG,4,21735.5,22291.25,2187.78,2.52,Win,Friday,06/2025,2025
24/06/2025 15:00,24/06/2025 17:00,26/06/2025 16:00,26/06/2025 18:00,2d 01h 00m,LONG,2,22335.75,22596.75,504.03,1.13,Win,Tuesday,06/2025,2025
24/06/2025 15:00,24/06/2025 17:00,30/06/2025 16:00,30/06/2025 18:00,6d 01h 00m,LONG,2,22335.75,22832.25,974.93,2.18,Win,Tuesday,06/2025,2025
